produktsortiment;prozessornummer;litographie_nm;anzahl_der_kerne;gesamte_threads;max_turbo_taktfrequenz_GHz;intel_turbo_boost_technik_2_0_taktfrequenz_GHz;grundtaktfrequenz_des_prozessors_GHz;cache_MB;bus_taktfrequenz_GT_per_s;verlustleistung_tdp_W;x_of_performance_cores;x_of_efficiency_cores;intel_turbo_boost_max_technology_3_0_frequency_GHz;single_p_core_turbo_frequency_GHz;single_e_core_turbo_frequency_GHz;p_core_base_frequency;e_core_base_frequency_GHz;total_l2_cache_MB;processor_base_power_W;maximum_turbo_power_W;einfuhrungsdatum;expected_discontinuance;grundtaktfrequenz_der_grafik_MHz;max_dynamische_grafikfrequenz_GHz;max_videospeicher_der_grafik_GB;x4k_unterstutzung_at;max_auflosung_hdmi;max_auflosung_dp;max_auflosung_e_dp_integrierter_flachbildschirm;pci_express_konfigurationen;thermische_spezifikation_des_kuhlers
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4770T;22;4;8;37;37;25;8;5;45;;;;;;;;;;;Q2'13;07/14/2017;350;12;2;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2013B
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4770R;22;4;8;39;39;32;6;5;65;;;;;;;;;;;Q2'13;;200;13;2;;3840x2160@30Hz;3840x2160@60Hz;;Up to 1x16 |  2x8 |  1x8/2x4;
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4771;22;4;8;39;39;35;8;5;84;;;;;;;;;;;Q3'13;07/14/2017;350;12;2;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4790;22;4;8;4;4;36;8;5;84;;;;;;;;;;;Q2'14;07/14/2017;350;12;2;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4790K;22;4;8;44;44;4;8;5;88;;;;;;;;;;;Q2'14;07/14/2017;350;125;2;;3840x2160@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4790S;22;4;8;4;4;32;8;5;65;;;;;;;;;;;Q2'14;;350;12;2;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2013C
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4790T;22;4;8;39;39;27;8;5;45;;;;;;;;;;;Q2'14;07/14/2017;350;12;2;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2013B
Intel® Core™ i7 Prozessoren der vierten Generation;i7-4785T;22;4;8;32;32;22;8;5;35;;;;;;;;;;;Q2'14;07/14/2017;350;12;2;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2013A
Intel® Core™ i7 Prozessoren der fünften Generation;i7-5775R;14;4;8;38;38;33;6;5;65;;;;;;;;;;;Q2'15;;300;115;32;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCA 2013D
Intel® Core™ i7 Prozessoren der fünften Generation;i7-5775C;14;4;8;37;37;33;6;5;65;;;;;;;;;;;Q2'15;;300;115;32;;4096x2304@24Hz;3840x2160@60Hz;3840x2160@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCA 2013D
Intel® Core™ i7 Prozessoren der sechsten Generation;i7-6700K;14;4;8;42;42;4;8;8;91;;;;;;;;;;;Q3'15;;350;115;64;60;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015D (130W)
Intel® Core™ i7 Prozessoren der sechsten Generation;i7-6700;14;4;8;4;4;34;8;8;65;;;;;;;;;;;Q3'15;;350;115;64;60;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der sechsten Generation;i7-6700T;14;4;8;36;36;28;8;8;35;;;;;;;;;;;Q3'15;;350;11;64;60;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015A (35W)
Intel® Core™ i7 Prozessoren der sechsten Generation;i7-6785R;14;4;8;39;39;33;8;8;65;;;;;;;;;;;Q2'16;;350;115;64;60;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;1x16 | 2x8 | 1x8+2x4;PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der siebten Generation;i7-7700T;14;4;8;38;38;29;8;8;35;;;;;;;;;;;Q1'17;;350;115;64;60;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015A (35W)
Intel® Core™ i7 Prozessoren der siebten Generation;i7-7700;14;4;8;42;42;36;8;8;65;;;;;;;;;;;Q1'17;;350;115;64;60;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der siebten Generation;i7-7700K;14;4;8;45;45;42;8;8;91;;;;;;;;;;;Q1'17;;350;115;64;60;4096x2304@24Hz;4096x2304@60Hz;4096x2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015D (130W)
