Produktsortiment,Prozessornummer,Lithographie,Empfohlener Kundenpreis,Anzahl der Kerne,Gesamte Threads,Max. Turbo-Taktfrequenz,Intel® Turbo-Boost-Technik 2.0 Taktfrequenz‡,Grundtaktfrequenz des Prozessors,Cache,Bus-Taktfrequenz,Verlustleistung (TDP),# of Performance-cores,# of Efficiency-cores,Intel® Turbo Boost Max Technology 3.0 Frequency ‡,Single P-core Turbo Frequency,Single E-core Turbo Frequency,P-core Base Frequency,E-core Base Frequency,Total L2 Cache,Processor Base Power,Maximum Turbo Power,Einführungsdatum,Expected Discontinuance,Grundtaktfrequenz der Grafik,Max. dynamische Grafikfrequenz,Max. Videospeicher der Grafik,4K-Unterstützung,Max. Auflösung (HDMI)‡,Max. Auflösung (DP)‡,Max. Auflösung (eDP – integrierter Flachbildschirm)‡,PCI-Express-Konfigurationen ‡,Thermische Spezifikation des Kühlers
Intel® Core™ i7 Prozessoren der 10. Generation,i7-10700,14 nm,$365.00,8,16,4.80 GHz,4.70 GHz,2 | 90 GHz,16 MB Intel® Smart Cache,8 GT/s,65 W,,,4 | 80 GHz,,,,,,,,Q2'20,,350 MHz,1.20 GHz,64 GB,Yes |  at 60Hz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015C
Intel® Core™ i7 Prozessoren der 10. Generation,i7-10700F,14 nm,$328.00-$338.00,8,16,4.80 GHz,4.70 GHz,2 | 90 GHz,16 MB Intel® Smart Cache,8 GT/s,65 W,,,4 | 80 GHz,,,,,,,,Q2'20,,,,,,,,,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015C
Intel® Core™ i7 Prozessoren der 10. Generation,i7-10700KF,14 nm,$384.00-$394.00,8,16,5.10 GHz,5.00 GHz,3 | 80 GHz,16 MB Intel® Smart Cache,8 GT/s,125 W,,,5 | 10 GHz,,,,,,,,Q2'20,,,,,,,,,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015D
Intel® Core™ i7 Prozessoren der 10. Generation,i7-10700K,14 nm,$411.00-$421.00,8,16,5.10 GHz,5.00 GHz,3 | 80 GHz,16 MB Intel® Smart Cache,8 GT/s,125 W,,,5 | 10 GHz,,,,,,,,Q2'20,,350 MHz,1.20 GHz,64 GB,Yes |  at 60Hz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015D
Intel® Core™ i7 Prozessoren der 11. Generation,i7-11700K,14 nm,$439.00-$449.00,8,16,5.00 GHz,4.90 GHz,3 | 60 GHz,16 MB Intel® Smart Cache,8 GT/s,125 W,,,5 | 00 GHz,,,,,,,,Q1'21,,350 MHz,1.30 GHz,64 GB,Yes |  at 60Hz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,PCG 2019A
Intel® Core™ i7 Prozessoren der 11. Generation,i7-11700KF,14 nm,$411.00-$421.00,8,16,5.00 GHz,4.90 GHz,3 | 60 GHz,16 MB Intel® Smart Cache,8 GT/s,125 W,,,5 | 00 GHz,,,,,,,,Q1'21,,,,,,,,,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,PCG 2019A
Intel® Core™ i7 Prozessoren der 11. Generation,i7-11700T,14 nm,$355.00,8,16,4.60 GHz,4.50 GHz,1 | 40 GHz,16 MB Intel® Smart Cache,8 GT/s,35 W,,,4 | 60 GHz,,,,,,,,Q1'21,,350 MHz,1.30 GHz,64 GB,Yes |  at 60Hz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,PCG 2019D
Intel® Core™ i7 Prozessoren der 11. Generation,i7-11700,14 nm,$355.00-$365.00,8,16,4.90 GHz,4.80 GHz,2 | 50 GHz,16 MB Intel® Smart Cache,8 GT/s,65 W,,,4 | 90 GHz,,,,,,,,Q1'21,,350 MHz,1.30 GHz,64 GB,Yes |  at 60Hz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,PCG 2019C
Intel® Core™ i7 Prozessoren der 11. Generation,i7-11700F,14 nm,$328.00-$338.00,8,16,4.90 GHz,4.80 GHz,2 | 50 GHz,16 MB Intel® Smart Cache,8 GT/s,65 W,,,4 | 90 GHz,,,,,,,,Q1'21,,,,,,,,,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4,PCG 2019C
Intel® Core™ i7 Prozessoren der 13. Generation,i7-13700KF,Intel 7,$384.00,16,24,5.40 GHz,,,30 MB Intel® Smart Cache,,,8,8,5 | 40 GHz,5.30 GHz,4.20 GHz,3.40 GHz,2.50 GHz,24 MB,125 W,253 W,Q4'22,,,,,,,,,Up to 1x16+4 |  2x8+4,PCG 2020A
